Date,HS_I,5,66,1,16,3,11
2001/7/18,12427.19043,48.38308,7.575256,29.034725,41.61578,1.184406,34.778538
2001/7/19,12279.82031,48.660339,7.427882,28.495378,41.179241,1.17194,34.778538
2001/7/20,12301.67969,48.660339,7.398403,28.585278,40.742722,1.159474,35.087231
2001/7/23,12236.4502,48.521729,7.398403,28.675171,39.869652,1.190639,34.984344
2001/7/24,12214.09961,48.798977,7.398403,28.225716,39.433125,1.184406,34.57275
2001/7/25,null,48.798977,null,28.225716,39.433125,1.184406,34.57275
2001/7/26,12039.82031,47.967186,7.427882,27.147005,38.414566,1.178173,34.675652
2001/7/27,12182.16992,48.660339,7.398403,27.147005,38.996601,1.184406,35.293026
2001/7/30,12086.66016,48.521729,7.368927,26.877361,38.560074,1.184406,35.190136
2001/7/31,12316.69043,49.353508,7.398403,27.77627,39.869652,1.209343,36.013287
2001/8/1,12478.74023,50.046703,7.368927,28.675171,40.451698,1.221809,36.013287
2001/8/2,12466.37012,50.323959,7.221551,28.495378,40.015171,1.209343,35.704617
2001/8/3,12269.08008,50.323959,7.309976,28.045923,39.578636,1.221809,35.190136
2001/8/6,12148.80957,50.185322,7.251027,28.045923,38.560074,1.196876,35.704617
2001/8/7,12007.19043,50.462585,7.074171,27.236912,37.832523,1.203109,36.013287
2001/8/8,11958.00977,51.017105,6.897317,26.517811,36.522934,1.196876,35.601707
2001/8/9,11716.76953,50.046703,6.720462,25.349192,36.668453,1.209343,35.293026
2001/8/10,11765.80957,50.878494,6.838367,25.349192,37.395992,1.203109,35.9104
2001/8/13,11694.29004,50.462585,6.573084,24.180628,36.522934,1.196876,36.116184
2001/8/14,11991.00977,51.15575,6.690987,25.079542,37.978035,1.203109,36.116184
2001/8/15,12141.62988,52.12619,6.690987,25.528988,38.560074,1.203109,36.219074
2001/8/16,11832.44043,51.987564,6.661511,25.259342,37.5415,1.203109,36.219074
2001/8/17,11754.80957,52.12619,6.749939,25.888546,38.705582,1.209343,36.836441
2001/8/20,11458.7002,51.15575,6.749939,24.989632,39.142109,1.209343,36.939342
2001/8/21,11440.34961,51.710281,6.779415,24.630083,39.578636,1.221809,37.453819
2001/8/22,11188.57031,51.121281,6.779415,24.360384,39.142109,1.215576,37.556717
2001/8/23,11345.37988,51.399117,6.956271,24.809887,40.015171,1.209343,37.598854
2001/8/24,11110.29981,50.704544,6.80889,25.259342,40.015171,1.221809,37.282894
2001/8/27,11234.71973,51.260189,6.956271,25.798645,39.869652,1.221809,37.177578
2001/8/28,11300.53027,51.260189,6.926792,26.24811,39.724155,1.240512,36.756306
2001/8/29,11242.41016,51.260189,6.867843,26.607658,40.306187,1.221809,36.650974
2001/8/30,11315.62988,51.954777,7.01522,26.877361,40.015171,1.215576,37.072239
2001/8/31,11090.48047,50.704544,6.897317,25.888546,39.578636,1.203109,36.756306
2001/9/3,10902.63965,50.426689,6.867843,25.798645,39.724155,1.234279,36.756306
2001/9/4,11136.86035,51.399117,7.133122,25.888546,39.433125,1.228042,37.072239
2001/9/5,10943.13965,50.704544,7.044696,25.528988,38.414566,1.228042,36.440334
2001/9/6,10664.32031,50.426689,6.80889,24.809887,36.522934,1.215576,35.281841
2001/9/7,10384.2002,48.620796,6.690987,23.461521,34.631313,1.215576,35.17651
2001/9/10,10366.32031,48.620796,6.632034,23.461521,35.213352,1.209343,34.965878
2001/9/11,10417.36035,48.620796,6.632034,23.461521,35.067841,1.221809,34.860558
2001/9/12,9493.620117,44.453289,6.088818,20.944544,32.157646,1.165707,33.596733
2001/9/13,9569.209961,43.897602,6.178358,21.393991,32.885193,1.184406,32.859493
2001/9/14,9655.450195,44.314384,6.058969,21.214247,31.284595,1.215576,33.386089
2001/9/17,9319.349609,41.674946,5.820195,20.135534,29.24745,1.196876,32.648869
2001/9/18,9307.900391,42.091702,5.939583,19.775974,28.345297,1.184406,32.016941
2001/9/19,9558.150391,43.341957,5.969429,20.495085,28.054277,1.190639,33.280769
2001/9/20,9317.980469,41.397137,5.760498,19.686079,27.588638,1.165707,32.543541
2001/9/21,8934.200195,38.063118,5.611264,18.787165,25.260485,1.147004,30.963743
2001/9/24,9284.5,39.591225,null,18.787165,25.260485,1.147004,30.963743
2001/9/25,9210.05957,39.869038,5.820195,19.506325,26.366358,1.147004,31.911627
2001/9/26,9371.75,41.952785,5.969429,20.045628,25.958927,1.159474,31.806299
2001/9/27,9600.790039,42.508453,6.148512,20.944544,27.937864,1.203109,32.332905
2001/9/28,9950.700195,45.56461,null,20.944544,27.937864,1.203109,32.332905
2001/10/1,null,42.508453,null,20.944544,27.937864,1.203109,32.332905
2001/10/2,null,42.508453,null,20.944544,27.937864,1.203109,32.332905
2001/10/3,9897.139648,44.453289,6.118665,22.113157,29.683979,1.228042,34.228638
2001/10/4,10286.38965,47.231606,6.2679,22.382813,29.975,1.228042,35.281841
2001/10/5,10277.37988,46.814857,6.088818,22.742357,29.392958,1.215576,35.387154
2001/10/8,9967.830078,46.120289,5.939583,22.023252,27.705051,1.215576,35.492466
2001/10/9,10358.92969,47.231606,6.238052,23.032194,28.636309,1.277383,36.229706
2001/10/10,10298.24023,46.120289,6.058969,22.760178,28.92734,1.264416,36.019066
2001/10/11,10522.61035,47.787277,6.088818,23.848282,29.683979,1.238478,35.597775
2001/10/12,10274.12988,47.648384,6.029125,23.666958,28.112482,1.238478,34.755234
2001/10/15,10130.58984,46.953781,6.029125,23.485584,28.636309,1.257933,34.439281
2001/10/16,10148.49023,47.509449,6.029125,23.757601,29.24745,1.2709,34.544579
2001/10/17,10260.80957,48.204033,6.208205,24.573692,29.683979,1.2709,35.281841
2001/10/18,9880.610352,46.814857,5.969429,23.666958,28.228886,1.238478,33.912682
2001/10/19,9825.839844,46.120289,5.939583,23.213573,28.578104,1.244965,33.491409
2001/10/22,9797.540039,45.425709,5.939583,23.394894,27.937864,1.244965,33.386089
2001/10/23,10219.83984,47.370533,5.999274,24.392365,28.403498,1.277383,33.702049
2001/10/24,10243.45996,48.204033,5.969429,24.392365,27.87966,1.264416,33.280769
2001/10/25,10243.45996,48.204033,null,24.392365,27.87966,1.264416,33.280769
2001/10/26,10404.74023,48.898624,6.029125,24.392365,29.043739,1.238478,34.228638
2001/10/29,10178.08984,48.342949,5.909736,24.392365,27.996059,1.244965,33.491409
2001/10/30,10076.42969,47.370533,6.029125,24.210989,27.588638,1.264416,32.964817
2001/10/31,10073.96973,46.953781,6.088818,23.938971,27.937864,1.264416,32.964817
2001/11/1,10158.84961,47.509449,5.999274,24.120342,27.87966,1.257933,32.964817
2001/11/2,10186.05957,48.342949,5.969429,23.938971,27.588638,1.251449,33.280769
